2026-08-30 08:30:10.378 [main] INFO  com.ecommerce.mobile.config.ConfigReader - Loaded configuration from config.properties
2026-08-30 08:30:10.389 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Starting Appium server...
2026-08-30 08:30:13.641 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Appium server started on http://127.0.0.1:4723/
2026-08-30 08:30:13.642 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Appium server ready in 3269 ms
2026-08-30 08:30:13.643 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - Building Appium capabilities from config.properties
2026-08-30 08:30:13.669 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - app.path is blank. Using already-installed application.
2026-08-30 08:30:13.670 [main] INFO  com.ecommerce.mobile.config.DriverManager - Initializing AndroidDriver against Appium server at http://127.0.0.1:4723/
2026-08-30 08:30:24.521 [main] INFO  com.ecommerce.mobile.config.DriverManager - App launched and driver session started successfully.
2026-08-30 08:30:24.521 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Driver session (device init + UiAutomator2 install/launch + app launch) ready in 10879 ms
2026-08-30 08:30:24.711 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Pin code selection workflow ==========
2026-08-30 08:30:24.711 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:30:25.041 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Pin code selection workflow
2026-08-30 08:30:26.608 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Pin_code_selection_workflow_30-Aug-2026_08-30-26.png
2026-08-30 08:30:26.625 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Pin code selection workflow ==========
2026-08-30 08:30:26.631 [main] WARN  com.ecommerce.mobile.listeners.RetryAnalyzer - Scenario failed. Retrying (attempt 1 of 1)...
2026-08-30 08:30:26.638 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Pin code selection workflow ==========
2026-08-30 08:30:26.638 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:30:26.869 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Pin code selection workflow
2026-08-30 08:30:28.179 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Pin_code_selection_workflow_30-Aug-2026_08-30-28.png
2026-08-30 08:30:28.185 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Pin code selection workflow ==========
2026-08-30 08:30:28.192 [main] INFO  com.ecommerce.mobile.config.DriverManager - Closing app session.
2026-08-30 08:30:29.239 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Stopping Appium server...
2026-08-30 08:34:05.459 [main] INFO  com.ecommerce.mobile.config.ConfigReader - Loaded configuration from config.properties
2026-08-30 08:34:05.462 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Starting Appium server...
2026-08-30 08:34:05.892 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Appium server started on http://127.0.0.1:4723/
2026-08-30 08:34:05.893 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Appium server ready in 438 ms
2026-08-30 08:34:05.894 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - Building Appium capabilities from config.properties
2026-08-30 08:34:05.929 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - app.path is blank. Using already-installed application.
2026-08-30 08:34:05.930 [main] INFO  com.ecommerce.mobile.config.DriverManager - Initializing AndroidDriver against Appium server at http://127.0.0.1:4723/
2026-08-30 08:34:10.255 [main] INFO  com.ecommerce.mobile.config.DriverManager - App launched and driver session started successfully.
2026-08-30 08:34:10.255 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Driver session (device init + UiAutomator2 install/launch + app launch) ready in 4362 ms
2026-08-30 08:34:10.428 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Pin code selection workflow ==========
2026-08-30 08:34:10.428 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:34:10.740 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Pin code selection workflow
2026-08-30 08:34:12.158 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Pin_code_selection_workflow_30-Aug-2026_08-34-12.png
2026-08-30 08:34:12.171 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Pin code selection workflow ==========
2026-08-30 08:34:12.175 [main] WARN  com.ecommerce.mobile.listeners.RetryAnalyzer - Scenario failed. Retrying (attempt 1 of 1)...
2026-08-30 08:34:12.189 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Pin code selection workflow ==========
2026-08-30 08:34:12.189 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:34:12.472 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Pin code selection workflow
2026-08-30 08:34:13.751 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Pin_code_selection_workflow_30-Aug-2026_08-34-13.png
2026-08-30 08:34:13.757 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Pin code selection workflow ==========
2026-08-30 08:34:13.763 [main] INFO  com.ecommerce.mobile.config.DriverManager - Closing app session.
2026-08-30 08:34:45.455 [main] INFO  com.ecommerce.mobile.config.ConfigReader - Loaded configuration from config.properties
2026-08-30 08:34:45.458 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Starting Appium server...
2026-08-30 08:34:45.861 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Appium server started on http://127.0.0.1:4723/
2026-08-30 08:34:45.868 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Appium server ready in 416 ms
2026-08-30 08:34:45.869 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - Building Appium capabilities from config.properties
2026-08-30 08:34:45.892 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - app.path is blank. Using already-installed application.
2026-08-30 08:34:45.894 [main] INFO  com.ecommerce.mobile.config.DriverManager - Initializing AndroidDriver against Appium server at http://127.0.0.1:4723/
2026-08-30 08:34:50.130 [main] INFO  com.ecommerce.mobile.config.DriverManager - App launched and driver session started successfully.
2026-08-30 08:34:50.130 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Driver session (device init + UiAutomator2 install/launch + app launch) ready in 4262 ms
2026-08-30 08:34:50.304 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Pin code selection workflow ==========
2026-08-30 08:34:50.304 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:34:50.719 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Pin code selection workflow
2026-08-30 08:34:52.326 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Pin_code_selection_workflow_30-Aug-2026_08-34-52.png
2026-08-30 08:34:52.339 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Pin code selection workflow ==========
2026-08-30 08:34:52.345 [main] WARN  com.ecommerce.mobile.listeners.RetryAnalyzer - Scenario failed. Retrying (attempt 1 of 1)...
2026-08-30 08:34:52.353 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Pin code selection workflow ==========
2026-08-30 08:34:52.353 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:34:52.636 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Pin code selection workflow
2026-08-30 08:34:53.942 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Pin_code_selection_workflow_30-Aug-2026_08-34-53.png
2026-08-30 08:34:53.946 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Pin code selection workflow ==========
2026-08-30 08:34:53.953 [main] INFO  com.ecommerce.mobile.config.DriverManager - Closing app session.
2026-08-30 08:35:39.563 [main] INFO  com.ecommerce.mobile.config.ConfigReader - Loaded configuration from config.properties
2026-08-30 08:35:39.565 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Starting Appium server...
2026-08-30 08:35:39.968 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Appium server started on http://127.0.0.1:4723/
2026-08-30 08:35:39.969 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Appium server ready in 410 ms
2026-08-30 08:35:39.970 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - Building Appium capabilities from config.properties
2026-08-30 08:35:39.995 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - app.path is blank. Using already-installed application.
2026-08-30 08:35:39.996 [main] INFO  com.ecommerce.mobile.config.DriverManager - Initializing AndroidDriver against Appium server at http://127.0.0.1:4723/
2026-08-30 08:35:44.146 [main] INFO  com.ecommerce.mobile.config.DriverManager - App launched and driver session started successfully.
2026-08-30 08:35:44.146 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Driver session (device init + UiAutomator2 install/launch + app launch) ready in 4177 ms
2026-08-30 08:35:44.319 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Signup into the Application for new user ==========
2026-08-30 08:35:44.320 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:35:44.576 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Signup into the Application for new user
2026-08-30 08:35:46.013 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Signup_into_the_Application_for_new_user_30-Aug-2026_08-35-46.png
2026-08-30 08:35:46.026 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Signup into the Application for new user ==========
2026-08-30 08:35:46.030 [main] WARN  com.ecommerce.mobile.listeners.RetryAnalyzer - Scenario failed. Retrying (attempt 1 of 1)...
2026-08-30 08:35:46.047 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Signup into the Application for new user ==========
2026-08-30 08:35:46.047 [main] INFO  com.ecommerce.mobile.config.DriverManager - Resetting app state by restarting com.gajab.buyerstage
2026-08-30 08:35:46.309 [main] ERROR com.ecommerce.mobile.hooks.Hooks - Scenario FAILED: Signup into the Application for new user
2026-08-30 08:35:47.581 [main] INFO  com.ecommerce.mobile.utils.ScreenshotUtil - Failure screenshot saved: C:\Automation\screenshots\mobile\Signup_into_the_Application_for_new_user_30-Aug-2026_08-35-47.png
2026-08-30 08:35:47.586 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Finished scenario: Signup into the Application for new user ==========
2026-08-30 08:35:47.593 [main] INFO  com.ecommerce.mobile.config.DriverManager - Closing app session.
2026-08-30 08:43:10.971 [main] INFO  com.ecommerce.mobile.config.ConfigReader - Loaded configuration from config.properties
2026-08-30 08:43:10.974 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Starting Appium server...
2026-08-30 08:43:11.410 [main] INFO  com.ecommerce.mobile.config.AppiumServerManager - Appium server started on http://127.0.0.1:4723/
2026-08-30 08:43:11.410 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Appium server ready in 443 ms
2026-08-30 08:43:11.411 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - Building Appium capabilities from config.properties
2026-08-30 08:43:11.440 [main] INFO  com.ecommerce.mobile.config.CapabilityManager - app.path is blank. Using already-installed application.
2026-08-30 08:43:11.441 [main] INFO  com.ecommerce.mobile.config.DriverManager - Initializing AndroidDriver against Appium server at http://127.0.0.1:4723/
2026-08-30 08:43:15.757 [main] INFO  com.ecommerce.mobile.config.DriverManager - App launched and driver session started successfully.
2026-08-30 08:43:15.757 [main] INFO  com.ecommerce.mobile.hooks.Hooks - Driver session (device init + UiAutomator2 install/launch + app launch) ready in 4346 ms
2026-08-30 08:43:15.914 [main] INFO  com.ecommerce.mobile.hooks.Hooks - ========== Starting scenario: Signup into the Application for new user ==========
